ANOPRO,TIPO_COMBUSTIBLE,VALE,NOMBRE_PLACA,UNIDAD_ORGANICA,MES_CONSUMO,KM_RECORRIDO,CANTIDAD_GALONES,PRECIO,TOTAL_CONSUMO,FECHA_INGRESO_VALE,FECHA_SOAT,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE
2019,GASOHOL 90,1000393508,EAA-207,GERENCIA DE DESARROLLO E INCLUSION SOCIAL,201903,4,500,10,14.67,146.7,20190328,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000393538,PGQ-764,SUB GERENCIA DE TRANSITO TRANSPORTE Y VIALIDAD,201903,4,500,6,14.67,88.02,20190328,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000393610,EA-2220,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201903,1,200,2.68,14.67,39.36,20190329,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000393605,PGQ-766,SGGRD-INSPECCION DE EDIFICACIONES,201903,4,500,6,14.67,88.02,20190329,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000393694,EAA-726,SUB GERENCIA DE TRANSITO TRANSPORTE Y VIALIDAD,201903,4,500,10,14.9,149,20190330,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000393689,PGQ-763,S.G DE PATRIMONIO Y SERVICIOS GENERALES,201903,4,500,4.52,14.9,67.41,20190330,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000393651,EUA-021,SUB GERENCIA DE SERENAZGO,201903,4,200,5,14.9,74.5,20190330,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000393640,EUE-836,SUB GERENCIA DE SERENAZGO,201903,4,500,5.6,14.9,83.5,20190330,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000393090,PTE-180,SUB GERENCIA DE AREAS VERDES Y CONTROL AMBIENTAL,201903,3,120,20,12.73,254.6,20190322,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000394753,EU-0209,SUB GERENCIA DE SERENAZGO,201904,1,200,2,15.1,30.2,20190408,20200519,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000394754,EGZ-929,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201904,4,500,3.59,15.1,54.25,20190408,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000394756,SGAV,S.GERENCIA DE AREAS VERDES Y CONTROL AMBIENTAL,201904,0,150,15.1,2,265.00,20190408,19000101,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000394758,C3-8370,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201904,1,200,2.88,15.1,43.52,20190408,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000394760,6540-8F,SUB GERENCIA DE SERENAZGO,201904,1,200,2,15.1,30.2,20190408,20200307,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000394780,EUA-015,SUB GERENCIA DE SERENAZGO,201904,4,200,5,15.1,75.5,20190408,20190303,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000394784,EUE-835,SUB GERENCIA DE SERENAZGO,201904,4,500,8,15.1,120.8,20190408,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000394787,EW-1848,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201904,1,200,4.7,15.1,70.96,20190408,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410925,EU-0218,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,1,200,1.9,13.14,24.93,20190111,20190519,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410928,EA-2294,S.GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLIDOS,201901,1,200,3,13.14,39.42,20190111,20190211,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410929,INT-008,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,1,200,3,13.14,39.42,20190111,20190515,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410932,EU-0214,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,1,200,2,13.14,26.28,20190111,20190519,LIMA,LIMA,ATE,150103,20230510
