;;;
 ;;KFFecha;RTTasa Legal Efectiva/Laboral MN (porcentaje)
;;1/04/1991;21.39
;;2/04/1991;21.39
;;3/04/1991;21.81
;;4/04/1991;21.63
;;5/04/1991;21.68
;;6/04/1991;21.68
;;7/04/1991;21.68
;;8/04/1991;20.69
;;9/04/1991;19.08
;;10/04/1991;18.86
;;11/04/1991;18.35
;;12/04/1991;18.32
;;13/04/1991;18.32
;;14/04/1991;18.32
;;15/04/1991;18.32
;;16/04/1991;18.32
;;17/04/1991;18.32
;;18/04/1991;18.32
;;19/04/1991;18.44
;;20/04/1991;18.44
;;21/04/1991;18.44
;;22/04/1991;18.44
;;23/04/1991;18.44
;;24/04/1991;18.02
;;25/04/1991;18.02
;;26/04/1991;17.99
;;27/04/1991;17.99
;;28/04/1991;17.99
;;29/04/1991;16.65
;;30/04/1991;16.65
;;1/05/1991;16.65
;;2/05/1991;15.48
;;3/05/1991;15.5
;;4/05/1991;15.5
;;5/05/1991;15.5
;;6/05/1991;15.19
;;7/05/1991;15.19
;;8/05/1991;15.19
;;9/05/1991;15.19
;;10/05/1991;15.09
;;11/05/1991;15.09
;;12/05/1991;15.09
;;13/05/1991;15.09
;;14/05/1991;15.16
;;15/05/1991;15.38
;;16/05/1991;15.38
;;17/05/1991;15.31
;;18/05/1991;15.31
;;19/05/1991;15.31
;;20/05/1991;15.44
;;21/05/1991;15.44
;;22/05/1991;15.47
;;23/05/1991;15.47
;;24/05/1991;15.47
;;25/05/1991;15.47
;;26/05/1991;15.47
;;27/05/1991;15.5
;;28/05/1991;15.48
;;29/05/1991;15.48
;;30/05/1991;15.48
;;31/05/1991;15.49
;;1/06/1991;15.49
;;2/06/1991;15.49
;;3/06/1991;15.98
;;4/06/1991;15.98
;;5/06/1991;16.84
;;6/06/1991;17.47
;;7/06/1991;17.47
;;8/06/1991;17.47
;;9/06/1991;17.47
;;10/06/1991;17.47
;;11/06/1991;17.46
;;12/06/1991;17.83
;;13/06/1991;17.78
;;14/06/1991;17.78
;;15/06/1991;17.78
;;16/06/1991;17.78
;;17/06/1991;17.78
;;18/06/1991;17.78
;;19/06/1991;17.58
;;20/06/1991;17.79
;;21/06/1991;17.97
;;22/06/1991;17.97
;;23/06/1991;17.97
;;24/06/1991;17.97
;;25/06/1991;17.97
;;26/06/1991;17.96
;;27/06/1991;17.96
;;28/06/1991;17.96
;;29/06/1991;17.96
;;30/06/1991;17.96
;;1/07/1991;18.03
;;2/07/1991;18.03
;;3/07/1991;18.03
;;4/07/1991;18.02
;;5/07/1991;18.02
;;6/07/1991;18.02
;;7/07/1991;18.02
;;8/07/1991;17.9
;;9/07/1991;17.89
;;10/07/1991;17.89
;;11/07/1991;17.89
;;12/07/1991;17.89
;;13/07/1991;17.89
;;14/07/1991;17.89
;;15/07/1991;17.86
;;16/07/1991;17.86
;;17/07/1991;18.58
;;18/07/1991;18.58
;;19/07/1991;18.58
;;20/07/1991;18.58
;;21/07/1991;18.58
;;22/07/1991;18.77
;;23/07/1991;18.77
;;24/07/1991;18.77
;;25/07/1991;18.77
;;26/07/1991;18.77
;;27/07/1991;18.77
;;28/07/1991;18.77
;;29/07/1991;18.77
;;30/07/1991;18.77
;;31/07/1991;18.92
;;1/08/1991;19.14
;;2/08/1991;19.14
;;3/08/1991;19.14
;;4/08/1991;19.14
;;5/08/1991;19.14
;;6/08/1991;19.12
;;7/08/1991;19.26
;;8/08/1991;19.3
;;9/08/1991;19.3
;;10/08/1991;19.3
;;11/08/1991;19.3
;;12/08/1991;19.3
;;13/08/1991;19.3
;;14/08/1991;19.3
;;15/08/1991;19.3
;;16/08/1991;19.48
;;17/08/1991;19.48
;;18/08/1991;19.48
;;19/08/1991;19.3
;;20/08/1991;16.76
;;21/08/1991;15.32
;;22/08/1991;15.32
;;23/08/1991;15.3
;;24/08/1991;15.3
;;25/08/1991;15.3
;;26/08/1991;15.3
;;27/08/1991;15.15
;;28/08/1991;15.15
;;29/08/1991;15.13
;;30/08/1991;15.13
;;31/08/1991;15.13
;;1/09/1991;15.13
;;2/09/1991;15.13
;;3/09/1991;15.13
;;4/09/1991;15.13
;;5/09/1991;15.13
;;6/09/1991;15.13
;;7/09/1991;15.13
;;8/09/1991;15.13
;;9/09/1991;15.13
;;10/09/1991;15.13
;;11/09/1991;15.13
